constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
SALTORA,247,CHANDANA BAURI,Bharatiya Janata Party,UTTAM BAURI,All India Trinamool Congress,32135,15/15,Result Declared,15,15
CHHATNA,248,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,SWAPAN KUMAR MONDAL,All India Trinamool Congress,47174,23/23,Result Declared,23,23
RANIBANDH,249,KSHUDIRAM TUDU,Bharatiya Janata Party,TANUSHREE HANSDA,All India Trinamool Congress,52269,19/19,Result Declared,19,19
RAIPUR,250,KSHETRAMOHAN HANSDA,Bharatiya Janata Party,THAKURMANI SAREN,All India Trinamool Congress,28742,14/14,Result Declared,14,14
TALDANGRA,251,SOUVIK PATRA,Bharatiya Janata Party,FALGUNI SINGHABABU,All India Trinamool Congress,50073,18/18,Result Declared,18,18
BANKURA,252,NILADRI SEKHAR DANA,Bharatiya Janata Party,DR. ANUP MANDAL,All India Trinamool Congress,54177,24/24,Result Declared,24,24
BARJORA,253,BILLESWAR SINHA,Bharatiya Janata Party,GOUTAM MISHRA (SHYAM),All India Trinamool Congress,41310,23/23,Result Declared,23,23
ONDA,254,AMARNATH SHAKHA,Bharatiya Janata Party,SUBRATA DUTTA (GOPI),All India Trinamool Congress,31723,23/23,Result Declared,23,23
BISHNUPUR,255,SHUKLA CHATTERJEE,Bharatiya Janata Party,TANMAY GHOSH (BUMBA),All India Trinamool Congress,30605,19/19,Result Declared,19,19
KATULPUR,256,LAKSHMI KANTA MAJUMDAR,Bharatiya Janata Party,HARAKALI PROTIHER,All India Trinamool Congress,34367,25/25,Result Declared,25,25
INDUS,257,NIRMAL KUMAR DHARA,Bharatiya Janata Party,SHYAMALI ROY BAGDI,All India Trinamool Congress,900,22/22,Result Declared,22,22
SONAMUKHI,258,DIBAKAR GHARAMI,Bharatiya Janata Party,KALLOL SAHA,All India Trinamool Congress,29410,21/21,Result Declared,21,21
KHANDAGHOSH,259,NABIN CHANDRA BAG,All India Trinamool Congress,GOUTAM DHARA,Bharatiya Janata Party,8284,14/14,Result Declared,14,14
BARDHAMAN DAKSHIN,260,MOUMITA BISWAS MISRA,Bharatiya Janata Party,KHOKAN DAS,All India Trinamool Congress,30470,18/18,Result Declared,18,18
RAINA,261,SUBHASH PATRA,Bharatiya Janata Party,MANDIRA DALUI,All India Trinamool Congress,834,14/14,Result Declared,14,14
JAMALPUR,262,ARUN HALDER,Bharatiya Janata Party,BHUTNATH MALIK,All India Trinamool Congress,11178,14/14,Result Declared,14,14
MONTESWAR,263,SAIKAT PANJA,Bharatiya Janata Party,CHOWDHURI SIDDIQULLAH,All India Trinamool Congress,14798,21/21,Result Declared,21,21
KALNA,264,SIDDHARTHA MAJUMDAR,Bharatiya Janata Party,DEBO PRASAD BAG (POLTU),All India Trinamool Congress,28630,21/21,Result Declared,21,21
MEMARI,265,MANAB GUHA,Bharatiya Janata Party,RASH BIHARI HALDER,All India Trinamool Congress,7106,15/15,Result Declared,15,15
BARDHAMAN UTTAR,266,NISITH KUMAR MALIK,All India Trinamool Congress,SANJOY DAS,Bharatiya Janata Party,6460,19/19,Result Declared,19,19
BHATAR,267,KARFA SOUMEN,Bharatiya Janata Party,KONER SHANTANU,All India Trinamool Congress,6528,14/14,Result Declared,14,14
PURBASTHALI DAKSHIN,268,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,SWAPAN DEBNATH,All India Trinamool Congress,16662,20/20,Result Declared,20,20
PURBASTHALI UTTAR,269,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,VASUNDHARA GOSWAMI,All India Trinamool Congress,30226,21/21,Result Declared,21,21
KATWA,270,KRISHNA GHOSH,Bharatiya Janata Party,RABINDRANATH CHATTERJEE,All India Trinamool Congress,35066,15/15,Result Declared,15,15
KETUGRAM,271,ANADI GHOSH,Bharatiya Janata Party,SEKH SAHONAWEZ,All India Trinamool Congress,27610,16/16,Result Declared,16,16
MANGALKOT,272,SHISHIR GHOSH,Bharatiya Janata Party,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,12723,18/18,Result Declared,18,18
AUSGRAM,273,KALITA MAJI,Bharatiya Janata Party,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,12535,16/16,Result Declared,16,16
GALSI,274,RAJU PATRA,Bharatiya Janata Party,ALOK KUMAR MAJHI,All India Trinamool Congress,10494,20/20,Result Declared,20,20
PANDABESWAR,275,JITENDRA KUMAR TEWARI,Bharatiya Janata Party,NARENDRANATH CHAKRABORTY,All India Trinamool Congress,1398,13/13,Result Declared,13,13
DURGAPUR PURBA,276,CHANDRA SEKHAR BANERJEE,Bharatiya Janata Party,PRADIP MAZUMDAR,All India Trinamool Congress,30934,19/19,Result Declared,19,19
